source,organization,title,description
Jharkhand - ICAR_NRM_Practices-2728,ICAR,"Reduced Tillage and BBF
 Planting for Rainfed Cotton","The technology is a package of reduced tillage, involving one harrowing and intercultural operation with pre-emergence herbicide, followed by Broad Bed and Furrow (BBF) planting for rainfed cotton. The BBF are formed by a BBF maker creating a one meter wide bed followed by a 50 cm wide furrow with a depth of approximately 15 cm. The cotton crop receives the recommended dose of fertilizers, including location-specific deficient micronutrients. This method aims to improve the efficiency of water use and nutrient management, making it suitable for climate-resilient agriculture."
Jharkhand - ICAR_NRM_Practices-2754,ICAR,"Sustainable Organic
 Farming Packages","The new package identified for each agro-climatic zone is expected to increase the net returns of the farmers by at least 20% by reducing the cost of production. Moreover, the timely availability of adequate chemical fertilizer is a national issue which can be addressed through the newly developed packages of organic farming in the cropping system mode. The packages of organic production in all the zones identified rely on the natural process of pest and disease management, thus reducing the cost of pesticides and herbicides. In addition, the package provides numerous benefits to the environment and society, as the production of organic products has its own advantages."
Jharkhand - ICAR_NRM_Practices-2758,ICAR,"Sustainable Wheat Residue
 Management","Mechanical harvesting of wheat using combine harvester leaves behind almost all crop residue in-situ. The common practice of burning these residues in the field to prepare for the succeeding kharif crop is wasteful, leading to the loss of valuable organic matter, nutrients, and affecting soil microbial populations in the surface layer."
Jharkhand - ICAR_NRM_Practices-2758,ICAR,"Sustainable Wheat Residue
 Management","A suitable alternative residue management strategy has been developed at the Indian Institute of Soil Science, Bhopal, through years of experimentation. The technology involves soil incorporation of wheat residue plus nitrogen supplementation through Farm Yard Manure (FYM) at 28 kg N ha⁻¹ (approximately 4 t FYM ha⁻¹) along with 25 kg P ha⁻¹ for rainfed soybean, and 68 kg N + 30 kg P ha⁻¹ for irrigated wheat (1+2 irrigations), which is more effective and profitable."
Jharkhand - ICAR_NRM_Practices-2764,ICAR,"Inward Sloping
 Bench Terracing","Inward sloping bench terracing is recommended for cultivation on lands with slopes ranging from 10 to 33%. The specifications include a 2.5% inward slope and a 1% longitudinal gradient for the benches, and a 0.5:1 or 1:1 slope for the risers. Inward sloping terraces are very suitable for high rainfall areas with deep, permeable soils, such as those found in the Nilgiris. This method can also be applied to similar areas in the Western Ghats in Kerala, Karnataka, Goa, and Maharashtra, where high rainfall and steep slopes prevail, and crops requiring proper drainage are cultivated. When inward sloping bench terraces are adopted, excess runoff is directed towards the hillside rather than the valley side, ensuring safe disposal with minimal soil loss."
Jharkhand - ICAR_NRM_Practices-2712,ICAR,"Addressing Manganese
 Deficiency in Field Crops","Manganese deficiency is increasing in rice-wheat systems grown in Indo-Gangetic plains having highly permeable coarse-textured alkaline soils with low organic matter. The principle of any micronutrient, including Mn, recommendations for different crops and cropping systems is based on its available status in soil, requirements to meet the crops/cropping system, and fixation in soil complex and other losses. Durum wheat genotypes are more susceptible to Mn deficiency than aestivum wheat."
Jharkhand - ICAR_NRM_Practices-2712,ICAR,"Addressing Manganese
 Deficiency in Field Crops","Manganese (Mn) can be supplied through the sulphate salt of Mn, i.e., MnSO₄, either through soil or foliar. Three to four foliar sprays of 0.5-1.0% MnSO₄ solution is more efficient and economical for enhancing wheat yield in sandy soils. Foliar spray of MnSO₄ solution one before and two after first irrigation is effective in mitigating Mn deficiency in crops in Mn-deficient soils."
State Advisory for Farmers during COVID 19 lockdown,ICAR,"Agricultural Operation Guidelines
 Amidst COVID-19",Guidelines: Appraise and consult Agriculture Advisor or Agriculture Coordinator for any emerging problem in farm-related activities. Lentil is at harvesting stage while gram and wheat will take another 20-25 days to mature. Harvesting should be at proper maturity. No need to irrigate the field as there was good rain in recent past. Summer ploughing in the vacant field after harvesting of Lentil is essential.
State Advisory for Farmers during COVID 19 lockdown,ICAR,"Agricultural Operation Guidelines
 Amidst COVID-19","Advisory: In Vegetables like tomato, brinjal, chillies etc., apply hoeing and irrigation as per requirement. Also apply the required amount of nitrogen. Leafy vegetables like palak, chaulai, bathua etc. can be sown for the summer season. Mealy bug in mango and litchi can be controlled by spraying Imidacloprid 17.8%SL at a concentration of 1 ml per 3 liters of water. Mite in litchi can be controlled by using Ethion 50 EC at a concentration of 2 ml per liter of water. Powdery mildew in mango can be managed by applying the recommended fungicide."
Jharkhand - ICAR_NRM_Practices-2768,ICAR,"Bio-Fencing for Soil
 and Water
 Conservation","The technology of bio-fencing with ridge planting establishes bio-fence species quickly and reduces runoff and soil loss compared to flat planting. This method also prevents trespass by human beings and animals. Under Bellary conditions, Agave sisilana and Euphorbia tirucalli have proven to be the best bio-fence species, with Agave sisilana showing more promise. Bio-fencing has vast potential for preventing trespassing and serves as an effective measure of soil and water conservation in semi-arid regions. Additionally, implementing bio-fencing can play a critical role in climate-resilient agriculture by protecting the land and optimizing water usage."
Jharkhand - ICAR_NRM_Practices-2715,ICAR,"Maximizing Crop Yield:
 Bio-Enriched Compost
 Impact on Fertilizer Use","ICAR's study on Efficient Nutrient Management focuses on Sustainable Agriculture, specifically in Bio-Enriched Compost Application and Fertilizer Reduction. Use of bio-enriched compost at a rate of 1 tonne per hectare can minimize the need for recommended nitrogenous and phosphatic fertilizers by up to 50% without any yield loss in crops grown in rice-toria and rice-wheat sequences."
Jharkhand - ICAR_NRM_Practices-2715,ICAR,"Maximizing Crop Yield:
 Bio-Enriched Compost
 Impact on Fertilizer Use","Further research indicates that with an increased dose of compost, specifically bio-enriched compost at 2 tonnes per hectare, the recommended nitrogen (N) and phosphorous (P) fertilizers could be reduced by up to 75% in the subsequent year. This reduction is due to the cumulative effects of Integrated Nutrient Management (INM) package. This approach contributes significantly to climate-resilient agriculture by enhancing sustainable farming practices and reducing chemical fertilizer dependency."
State Advisory for Farmers during COVID 19 lockdown,ICAR,"Facilitating Access and Delivery of Essential
 Agricultural Products: Guidelines and Advisory",Guidelines and Advisory: Delay in harvesting of crops like lentil and toria by 7-10 days. Farmers are advised to clean the house of animals and poultry birds regularly with phenol@1 ml/l of water to prevent infection. Poultry birds may be fed with green leaves along with grinded maize/rice. Safety measures in handling should be followed. State: Manipur.
State Advisory for Farmers during COVID 19 lockdown,ICAR,"Facilitating Access and Delivery of Essential
 Agricultural Products: Guidelines and Advisory","Farmers who are facing problems to get feed for piggery may produce their own feed by cooking maize/rice grain, seasonal vegetables, colocasia roots, kitchen waste with dry fish etc. In jhum cultivation, farmers are advised to maintain social distancing while preparing fields for various crops. These measures are important for the continuity of essential agricultural operations amidst the COVID-19 lockdown. State: Manipur."
Jharkhand - ICAR_NRM_Practices-2765,ICAR,"Improved Bench
 Terracing","Bench terracing with inward sloping resulted in reduction in soil loss and runoff ranged from 44.3 to 71.2%, and from 21.3 to 63.8%, respectively. Increase in the yield of potato ranged between 57.1 and 103% where terrace renovation (to inward sloping terraces) was carried out. Increase in the yield of crops like potato, carrot and broccoli ranged from 66.0 to 84% on new inward sloping terraces when compared with that obtained on sloping land. These benefits highlight the importance of bench terracing for enhanced soil conservation and improved agricultural productivity, making it a viable practice for climate-resilient agriculture. Implementing such practices can lead to sustainable farming in areas prone to soil erosion and water runoff."
Jharkhand - ICAR_NRM_Practices-2774,ICAR,"Stable Tea Cultivation
 on Terrace Risers","Double row parallel planting of tea (Thea sinensis) on terrace risers at a spacing of 0.75 m x 0.75 m helps to overcome the problem of riser instability. This instability results from farmers not providing the slope of 0.5:1 or 1:1 to the risers, as they often make them as vertical as possible to accommodate more crop rows. Additionally, this technology promotes crop diversification, resource conservation, and higher production from annual cropped areas in the Nilgiris. It is especially suitable for southern hilly regions where tea is grown and bench terracing is required for annual crop cultivation. The tea cultivation on terrace risers can significantly reduce runoff (27.46 mm) and soil loss (0.33 tonnes/ha/year). The cost of this technology is ₹ 50,000 per hectare for the initial two years. The impact and benefits include an additional net income of ₹ 22,000/year from one hectare of terraced land."
Jharkhand - ICAR_NRM_Practices-2755,ICAR,"Sustainable Wheat
 Farming Practices","Conservation agriculture aims to produce with minimum disturbance to soil and environment. The machineries such as bed planter, zero-till drill, strip-till drill and rotary-till drill can be used in wheat for resource conservation in terms of better benefit: cost ratio, energy output input ratio, water use and management of Phalaris minor."
Jharkhand - ICAR_NRM_Practices-2755,ICAR,"Sustainable Wheat
 Farming Practices","Performance results: Zero, strip and rotary till drills, and bed planter provided higher wheat yields (2-12%), net returns (7-18%), cost effectiveness (9-14%) and energy efficiency (20-29%); required lower specific energy (16-21%) and specific cost (4-6%); and reduced Phalaris minor (56-79%) and other weeds (66-79%), when compared with conventional sowing of wheat. These practices contribute to climate resilient agriculture by improving resource efficiency and reducing environmental impacts."
Jharkhand - ICAR_NRM_Practices-2759,ICAR,"Sustainable Residue
 Management Benefits","Wheat residue incorporation or retention coupled with application of 28 kg N ha¹ through fertilizer or organic manures is more beneficial than burning in terms of enhanced crop productivity and soil fertility. Wheat residue incorporation resulted in 20-22% higher yields in soybean and 15-25% in wheat as compared to residue burning. Compared to residue burning, the residue incorporation or surface retention caused a marked improvement in the soil organic carbon content. Irrespective of residue management option, the N supply through organic sources led to an appreciable increase in soil organic carbon."
Jharkhand - ICAR_NRM_Practices-2759,ICAR,"Sustainable Residue
 Management Benefits","Available P and K status of soil improved with residue incorporation and residue surface retention. Further, the residue incorporation or retention improved soil physical health in terms of a decrease in soil bulk density and an increase in the percentage water-stable aggregates and mean weight diameter. Utilizing such practices supports climate resilient agriculture by enhancing soil health and crop productivity, thereby mitigating the need for burning residues which contributes to air pollution and greenhouse gas emissions."
Jharkhand - ICAR_NRM_Practices-2743,ICAR,"Intercropping for Sustainable
 Rice Farming","The technology is applicable for the rice-rice system in the Western Ghat. In this zone, space and moisture are available between two rice crops. No other crop can be grown due to excess moisture. After harvesting rabi rice, a green manure crop like Sesbenia can be sown and incorporated into the soil after 40-45 days. This technology not only enhances productivity but also increases soil organic carbon as well as the physical and biological properties of the soil. These improvements help sustain productivity and provide additional nitrogen (N)."
Jharkhand - ICAR_NRM_Practices-2738,ICAR,"Profitable Cropping:
 Foxtail Millet with Redgram","Organization: ICAR

Category: Cropping Systems
Sub Category: Intercropping Techniques

Title: Profitable Cropping: Foxtail Millet with Redgram

Description: Foxtail millet intercropped with redgram in a 5:1 ratio is among the most profitable and feasible cropping systems. This method was introduced to farmers' fields through Front Line Demonstrations (FLDs), convincing farmers to adopt the system due to substantial increases in returns compared to planting foxtail millet as a sole crop. This intercropping practice not only boosts returns but is also a recommended climate-resilient agriculture technique, enhancing the sustainability and productivity of farming systems.

Source: Jharkhand - ICAR_NRM_Practices-2738"
Jharkhand - ICAR_NRM_Practices-2710,ICAR,"Sulphur Deficiency in Indian
 Soils: Impact, Solutions, and
 Application Strategies","About 40% of Indian soils are deficient in sulphur (S), leading to significant economic losses in various crops, particularly oilseeds and pulses. The inclusion of sulphur in a balanced NPK fertilization schedule in S-deficient soils has been studied extensively through numerous experiments conducted on farmers' fields. These studies varied in S status, sources, rates, and methods of application. Crop uptake of sulphur ranged from 5 kg to over 50 kg per hectare, depending on crop type, available S levels, availability of other nutrients, growth conditions, and cropping intensity. Effective sources for rectifying S deficiency include single super phosphate, gypsum, phospho-gypsum, ammonium sulphate, and bentonite pastilles. Pyrite, a good sulphur source, should be applied to moist soil through surface broadcast one month before planting to meet crop requirements. It's recommended that basal application of S sources be done, though they can also be applied at 25-30 days of crop growth, especially for oilseeds."
Jharkhand - ICAR_NRM_Practices-2727,ICAR,Farm Waste Compostability Kit,"Crop residue that decomposes faster can be composted in a shorter period. A simple kit for assessing compostability of farm waste has been developed. The kit includes reagents such as 'Reagent A' (Distilled water) and 'Reagent B' (3% w/v 2,3,5-Tetrazolium chloride in alcohol). Reagent B is added in finely powdered form. The time taken for the development of red color indicates the decomposability of the waste. Early production of a more intense red color indicates easier decomposability. Performance results show a satisfactory distinction between different light-colored crop residues. The estimated cost of this technology is 5 per sample. Adoption of this technology would lead to resource conservation and resource use optimization, which is crucial for climate-resilient agriculture."
Jharkhand - ICAR_NRM_Practices-2747,ICAR,"Sustainable Integrated
 Farming System","The Integrated Farming System (IFS) approach enabled the fulfillment of most household needs and sustained agricultural production through the recycling of farm wastes and crop residues. The system provided green fodders and feed concentrates to dairy animals along with generating green biomass. It effectively utilized farm and animal wastes, and crop residues, while also incorporating dual-purpose legumes through intercropping. Additionally, silt from fish ponds can be mixed into the soil every three years, enhancing soil fertility. Excavation of 15 cm deep ground soil from an 800 m² pond area contributed 18.56 kg N, 6.21 kg P, and 74.24 kg K, translating into a cost saving of approximately ₹950. The organic carbon (OC) content of the soil was notably high at 1.20%, with an average value of 0.95%. The model's total manpower requirement was calculated at 684 mandays per hectare per year. The relative share of different components in the IFS model included crops (41%), dairy (48%), horticulture (6%), fishery (3%), and apiary (2%)."
Jharkhand - ICAR_NRM_Practices-2714,ICAR,"Enhanced Bio-Enriched Compost
 Production from Normal Farm
 Compost","Normal farm compost could be converted into superior bio-enriched compost by amending with 1% P as rock phosphate along with inoculating Azospirillum/Azotobacter and Phosphate Solubilizing Bacteria (PSB) (10⁸-10⁹ cfu/g) each. The compost should be subsequently cured for about 20 to 25 days in shade at 25% moisture level. To maintain the moisture, curing materials should be covered with a polythene sheet or gunny bags."
Jharkhand - ICAR_NRM_Practices-2714,ICAR,"Enhanced Bio-Enriched Compost
 Production from Normal Farm
 Compost","The enhanced bio-enriched compost offers multiple benefits over normal farm compost, including stabilization of C:N ratio around 10.0 to 12:1, pH stabilization around neutral (7 to 7.5), and an increase in the cation-exchange capacity (CEC) of the final product above 25%. Additionally, microbial carbon increases more than 100 times, and the viable population of Azospirillum, Azotobacter, and PSB increases 300-400 times and six times, respectively."
Jharkhand - ICAR_NRM_Practices-2730,ICAR,"Profitable Farming: Improved
 Technology for Farmers","The new technology will add to the income of the farmers. The net returns from the package varied from around ₹5,000 (Kovilpatti, Tamil Nadu) to ₹19,000 per hectare (Khargone, Madhya Pradesh). In addition to it, the technology provided the intangible benefits of improvement in soil health, reduction in the runoff and soil losses, better drainage of excess runoff water from the fields. The reduced tillage in combination with residue incorporation and proper nutrition has yielded equal or higher than intensive tillage, which has reduced the energy requirements on one hand and good economic returns to the farmers on the other."
Jharkhand - ICAR_NRM_Practices-2746,ICAR,"Integrated Farming System
 (IFS)","Integrated Farming System (IFS) approach is an appropriate strategy to improve the livelihood of marginal- and small-holders. IFS model for 1.5 ha comprises crops (1.04 ha), dairy animals (2 buffaloes and 1 cow), horticulture crops (fruits, vegetables, and flowers in 0.20 ha), fishery (composite fish culture in 0.10 ha), apiary (10 bee boxes), vermicompost (0.01 ha), and boundary plantations all along the farm boundaries. It is viable for a family size of 7 members. All the farm and animal wastes and crop residues were recycled in such a way that the output of one enterprise was used as input for another and vice-versa."
State Advisory for Farmers during COVID 19 lockdown,ICAR,"Agricultural Guidelines and Advisory
 for Safe Operations","The guidelines of the Government of India are strictly followed in Assam to ensure agricultural safety during the COVID-19 lockdown. Farmers are advised to adhere to social distancing and safety measures during all agricultural operations. As the harvesting of field crops like lentil, linseed, and mustard is due, proper drying post-harvest is essential for good storage. Proper sanitation is required when using shared or hired implements or machinery for harvesting operations. Personnel engaged in harvesting should maintain proper isolation distance. Traditional methods can extend the shelf life of harvested tomatoes in case of delayed marketing."
State Advisory for Farmers during COVID 19 lockdown,ICAR,"Agricultural Guidelines and Advisory
 for Safe Operations","With the cold storage services exempted from the lockdown, crops like potatoes, tomatoes, and chilies can be stored in the nearest cold storage after obtaining necessary passes while adhering to safety restrictions. Farmers are encouraged to prefer farm-level storage wherever possible to secure better prices, rather than rushing to markets immediately after harvesting to avoid selling at lower prices. Farmer Producer Organizations (FPOs) may initiate the selling of produce after obtaining proper permission from the district administration. Retail shops dealing with fertilizers and seeds are allowed to operate during the lockdown for a limited time window, ensuring a social distancing of at least 1 meter while purchasing."
Jharkhand - ICAR_NRM_Practices-2740,ICAR,"Enhanced Yield through
 Sugarcane-Potato Intercropping","Enhanced Yield through Sugarcane-Potato Intercropping: Two rows of potato grown between the rows of sugarcane with recommended dose of fertilizers ensures higher productivity and profitability when compared with the farmers' practices (full dose of fertilizers to sugarcane + only nitrogen to the potato). Intercropping of sugarcane + potato (1:2) ensured higher monetary return than farmers' practice. The magnitude of increase in cane yield over farmers' practices was 69%. The yield of potato under the system was 15 tonne/ha, besides reducing the cost of cultivation by inhibiting the growth of weeds. Source: Jharkhand - ICAR_NRM_Practices-2740"
Jharkhand - ICAR_NRM_Practices-2769,ICAR,"Contour Furrows for
 Rainwater
 Conservation","Contour furrow (CF) is a suitable conservation measure for facilitating in-situ rainwater conservation as well as drainage during consecutive rainfall events. Contour furrows are small ditches laid out on the contour at specified spacing across the natural slope of the land. This practice aids both in conserving rainwater and managing drainage, making it highly relevant for climate-resilient agriculture. Some of the design specifications for contour furrows include: Shape of ditch: Trapezoidal; Depth: 20-30cm; Bottom width: 20-30cm; Top width: 40-50cm; Cross-sectional area: 0.06-0.12m; Runoff storage capacity per meter: 0.06-0.12m. Horizontal spacing ranges from 6 to 15 meters, determined by the land's slope and cropping systems. For 6 m horizontal spacing, the total length of the contour furrow would be 1,600 meters in one hectare area."
Jharkhand - ICAR_NRM_Practices-2713,ICAR,"Enhancing Crop Performance:
 Manganese Application Impact","Performance results: Different crops and cropping systems, especially wheat, performed tremendously with application of manganese (Mn) in deficient soils. Application of Mn enhances the farmers' profit by 10-35% depending upon crop type and crop response to Mn fertilization. Replenishment of Mn improves the fertility and soil health, and also increases the utilization of other macronutrients, reducing leaching losses and thus helpful in saving the environment."
Jharkhand - ICAR_NRM_Practices-2713,ICAR,"Enhancing Crop Performance:
 Manganese Application Impact","Cost of technology: The cost of Mn application varies with the amount of fertilizer used and the labor required. Foliar spray enhances labor cost. On average, the cost of micronutrient fertilizer use varied between ₹700 and ₹2,000 per hectare. Output also varies with crop response to fertilization. On average, output ranges between ₹2,500 and ₹15,000 per hectare. Impact and benefits: Application of Mn enhances the farmer profit and improves the soil health."
Jharkhand - ICAR_NRM_Practices-2733,ICAR,"Integrated SRI: Enhancing Rice
 Productivity and Water
 Management","The ICAR organization has proposed an innovative approach for managing rainfed paddy land to enhance both rice productivity and water conservation, categorized under Agriculture and Water Conservation, specifically focusing on Integrated Farming Technologies. This method includes converting 10% of the total rice field into small dugout ponds or refuges at downstream locations to harvest rainwater from the field. The conserved rainwater in these ponds is utilized for short-duration aquaculture during the monsoon season, and the embankments are used for growing horticultural crops. The stored water is also used to provide supplemental irrigation to kharif paddy and horticultural crops. To further boost rice production, the SRI method is employed, keeping the rice field free of stagnant water during the vegetative stage of crop growth. This integrated system is referred to as Integrated SRI (ISRI), combining SRI methods of rice cultivation with pond/refuge systems to conserve rainwater for multiple uses."
Jharkhand - ICAR_NRM_Practices-2736,ICAR,"Delayed Sowing Strategy for
 Redgram in Black Cotton Soil","The Indian Council of Agricultural Research (ICAR) has identified a technique for enhancing crop resilience in monsoon-dependent regions, particularly in dryland crop management under monsoon-responsive agriculture. Generally, redgram is grown during the kharif season (June and July) with the onset of the monsoon. However, if the monsoon is delayed, redgram can still be successfully cultivated until the end of August in heavy black soils without any significant reduction in yield. In Kurnool districts, where 70% of the soils are black cotton soil, this technology is especially useful. This agricultural practice helps farmers in choosing more remunerative crops and ensures no additional monetary input is required, as it only involves adjusting the sowing time and selecting suitable crops."
Jharkhand - ICAR_NRM_Practices-2736,ICAR,"Delayed Sowing Strategy for
 Redgram in Black Cotton Soil","Performance results have shown that redgram is the most remunerative crop (₹59,310 per hectare) under delayed sowing conditions in black cotton soil with a delayed onset of the monsoon. The intervention entails no additional costs since it simply involves adjusting sowing times and selecting the appropriate crop. This technique aids farmers in selecting the most profitable crop among several dryland crops when the monsoon is delayed, thus making it a resilient agriculture strategy for climate variability."
Jharkhand - ICAR_NRM_Practices-2723,ICAR,"Liquid Inoculant Technology
 for Enhanced Crop Yield","Liquid Inoculant Technology for Enhanced Crop Yield: This technology maintains a high titre value even after the expiry date, ensuring >10 CFU/ml. It has a shelf-life of over 360 days, in contrast to carrier-based formulations that last only 180 days. The application requires just 250 ml per acre and results in lower contamination levels compared to solid formulations. The technology promotes greater colonization in crop rhizospheres and exhibits wide adaptivity across various soil stress conditions and agroclimatic scenarios due to the presence of cell protectants. It is conveniently applied directly through spray nozzles to the root zone or by mixing with organic manure and can be stored under normal room temperature conditions."
Jharkhand - ICAR_NRM_Practices-2723,ICAR,"Liquid Inoculant Technology
 for Enhanced Crop Yield","Economic and Agronomic Benefits of Liquid Inoculant Technology: For pulse crops, this technology can save up to 50% of the recommended dose of fertilizers (RDF), while for maize, it has been shown to provide 12% higher yields compared to using 100% RDF. This technology proves economical as it offers a cheaper alternative for mobilizing nutrients in comparison to chemical fertilizers. Farmers benefit from increased income due to enhanced crop yields, making it a promising technology for wide-scale adoption in climate-resilient agriculture."
Jharkhand - ICAR_NRM_Practices-2717,ICAR,"Innovative Enriched Compost
 Technology from Low-Grade
 Resources","A new technology has been developed to prepare enriched compost using low-grade rock phosphate, waste mica, and crop residues. For this purpose, a trench or pit is filled layer-wise (5-6 layers). Biodegradable organic materials like crop residues, farm wastes, animal feed wastes, and tree leaves are spread on the floor of the trench (about 20-cm thick layer). A layer of rock phosphate (RP), followed by waste mica, is then spread over biodegradable organic material. Cattle-dung is made into slurry by adding water, and this is sprinkled over the RP and waste-mica layer."
Jharkhand - ICAR_NRM_Practices-2717,ICAR,"Innovative Enriched Compost
 Technology from Low-Grade
 Resources","The layering process is repeated until the whole compostable materials are added. Moisture content is maintained throughout the composting period at 60% of water-holding capacity. Periodic turning at monthly intervals is done to provide aeration. Composting is continued for 4 months. For the preparation of 1 ton of enriched compost, you will need 1 ton of biomass (crop residues/biodegradable wastes), 200 kg of low-grade rock phosphate (18-20% P₂O₅), 200 kg of waste mica (9-10% K₂O), and 100 kg of fresh cattle dung."
