Organization,Labels,Title,Description,Source,Additional Metadata
ICAR,"Sub Title:Ensuring Continuity and Safety in Farming Practices Amidst COVID-19 Restrictions
 Category : Agricultural Operations and Essential Services
 Sub category : COVID-19 Response and Safety Measures
 Information About : Fertilizer & Pesticides
 State: Maharashtra","Comprehensive Guidelines and Advisory
 for Agricultural Operations During
 Lockdown"," > Guidelines & Advisory
 > Matured crop of sorghum, gram and wheat can be harvested. The harvested produce should be threshed and kept at safe storage places.
 > To save the crops from thunder storm, lighting, gusty winds rainfall as well as hail storm harvest mature crops, horticultural crops and vegetable crops as early as possible and store them at safe places.
 > Harvested safflower, rabi sorghum and wheat crops should be collected and covered by plastic paper. Store threshed crops at safe places.
 > If harvested and boiled turmeric crop was put for sun drying should be collected and covered by plastic paper. Protect the turmeric crop from unseasonal rains.
 > Mature citrus crops should be harvested as early as possible. The broken branches or injured branches due to hail and unseasonal rainfall should be removed.
 > In case of pomegranate, the broken branches or injured branches due to hail and unseasonal rainfall should be removed. Take a spray of 10 gm Carbendazim per 10 litre of water immediately after pruning. During such condition heavy dropping
 of fruits and flowers is observed; destroy the dropped and damaged fruits property.
 > Bunch support or bunch propping is necessary in banana orchard planted in the month of June. Earthing up should be done in banana orchard.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR,"Sub Title:Ensuring Supply Chain Continuity and Safety Measures Amidst Lockdown
 Category:Essential Services and Agricultural Operations
 Sub Category: COVID-19 Response and Safety Measures
 Information About:maize/ rice grain, seasonal vegetables, colocasia roots
 State:Manipur","Facilitating Access and Delivery of Essential
 Agricultural Products: Guidelines and Advisory"," > Guidelines and Advisory
 > Delay in harvesting of crops like lentil and toria by 7-10 days.
 > Farmers are advised to clean the house of animals and poultry birds regularly with phenol@1 ml/ l of water to prevent infection. Poultry birds may be fed with green leaves along with grinded maize/ rice. Safety measures in handling to b followed.
 > Farmers who are facing problems to get feed for piggery may produce their own feed by cooking maize/ rice grain, seasonal vegetables, colocasia roots, kitchen waste with dry fish etc.
 > In jhum cultivation, farmers are advised to maintain social distancing while preparing fields for various crops.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR,"Sub Title:Ensuring Uninterrupted Farming Operations and Market Connectivity Amid Lockdown
 Category:Agricultural Operations and Market Regulation
 Sub Category:Agricultural Operations and Market Regulation
 Information About:ginger, turmeric, maize, cucumber
 State:Meghalaya","Facilitating Agricultural Continuity
 and Market Access: Guidelines and Advisory"," > Guidelines and Advisory
 > Inputs like maize seeds, lime, biofertilizers will be supplied at the door step of farmers through line departments
 > Farmers facing difficulty in marketing farm produce such as strawberry are advised to produce value added products like wine, jam, jellies, squash.
 > The peak sowing operations in ginger, turmeric, maize, cucumber should be taken up by following social distancing by workers",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR,"Sub Title:Facilitating Farming Activities and Post-
 Harvest Management Amid Lockdown
 Category:Agricultural Operations
 and Post-Harvest Management
 Sub Category: Lockdown Exemptions and
 Post-Harvest Handling
 Information About:Coffee,Beans ,maize,Mushrooms
 State:Nagaland","Ensuring Continuity in Agricultural
 Operations: Guidelines and Advisory"," > Guidelines and Advisory
 > Coffee growers who have harvested the beans should dry it up to 12-14 % moisture content and keep it in air tight containers to prevent spoilage of beans.
 > Mushrooms which are ready for harvesting, if not sold in village may be sundried or place above chullah in appropriate drying basket till moisture content reduces to 5-8 %.
 > Harvested tree beans may be preserved by making pickles or by drying the seeds along with the cover.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR,"Sub Title: Ensuring Safe and Efficient Farming
 Practices During the Pandemic
 Category:Agricultural Operations and Safety Measures
 Sub Category: Guidelines and Advisory for
 Wheat Harvesting and Other Crop Activities
 Information About:Wheat
 State:Punjab","Guidelines and Advisory for Agricultural
 Operations Amid COVID-19 Restrictions"," > Guidelines: Endst No.

 > Due of untimely rain during March, the harvesting of wheat is delayed and wheat harvesting will start after 5-10th April and peak will be between 15-30th April.
 > Harvesting of wheat is though combine harvesters and their movement within state and between states has been permitted. Precautions and safety measures of workers engaged in repair, maintenance and harvesting operation is to be ensured.
 > Potato crop has been harvested (>95%), only January sown potato is to be harvested (5% area). Storage, transport and marketing operations to be taken up by following safety pre- cautions.
 > About 50% mustard crop has been harvested till now which is in full swing and likely to be completed by first week of April. Social distancing is to ensured.
 > Harvesting of pulses like gram, lentil etc is delayed due to rains and harvesting is likely between 1st week to mid of April.
 > Advisory
 > Harvesting of the matured crops and shifting to safer places Cattle sheds should be kept dry as for as possible. Keep goat and sheep in dry and sheds and provide green fodder, fresh and clean water three times in a day. Cattle and poultry shed must be cleaned and ventilated and provide clean drinking water 3-4 times in a day
 > Drying of coriander crop after harvesting and threshing
 > Manual harvesting of lodged wheat
 > No need to irrigate garlic crop in which 40% bulb lets are initiated.
 > Summer plowing in the harvested field of mustard for better weed and insect control. Ploughing of guava orchards is useful for pest control.
 > Harvesting should be done with machine operated equipment as much as possible. Sanitize the equipment with soapy water at least 3 times a day, if manual cutting equipment is used.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR,"Sub Title:Ensuring Safe Practices in Farming
 Operations
 Category:Agriculture and Farming
 Sub Category: Health and Safety Measures
 Information About:Maize , Potato
 State:Sikkim","COVID-19 Safety Guidelines for
 Agricultural Activities"," > Guidelines and Advisory: 
 > Maize is the major crop and sowings are still continuing at some places. Farmers are advised to follow safety pre-cautions while applying organic inputs as per the recommended dose.
 > Potato harvesting is in progress and farmers are advised to store required quantity standard size potato for seed purpose by following the recommended low-cost storage method.
 > Farmers can also avail the cold storage facilities to store the perishables.
 > Farmers are allowed to purchase livestock and poultry feeds, medicines etc. as and when required by following social distancing, personal hygiene measures of washing with soap, sanitizers and face mask.
 > Livestock farmers are suggested for regular supplementation of mineral mixture @ 50-60 g/day/ adult cows and calcium to the lactating and pregnant cows @ 60-80 ml/day/cow to maintain productivity.
 > Dairy farmers are suggested to convert their evening collection of milk to Paneer, Butter or Ghee making for better price realization or faced with any difficulty in storage or marketing
 > The livestock are needed to be fed edible tree fodders as well as chopped paddy straw regularly to sustain the milk productivity
 >  Maintenance of proper hygiene in livestock and poultry houses is essential.
 > The litter materials in poultry shed need to be changed to prevent coccidiosis infestation. If red diarrhea symptoms are noticed in the birds, immediately administer anticoccidial drugs (in the drinking water for 3 -5 days.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR,"Sub Title: Ensuring Farmers' Access to Markets,
 Inputs, and Financial Support
 Category: Agriculture and Rural Development
 Sub Category: COVID-19 Response Measures
 Information About: Crop Seeds, Paddy ,
 GroundNuts,Pulses,maize,Sugarcane,
 Mango,Banana,citrus, cashew, papaya,
 turmeric, water melon and
 vegetables(brinjal, bhendi gourds
 State: Tamil Nadu","Comprehensive Guidelines and Advisory
 for Agricultural Activities During Lockdown"," > Guidelines: 
 > Farmers can also avail the cold storage facilities to store perishables
 > Rabi paddy is in grain filling to grain hardening stage which is to be harvested using combines. Pre-cautions and safety measures of workers engaged in repair, maintenance and harvesting operation with combiners is to be ensured.
 > Groundnut and sesame crops are in maturity to harvesting stage. Manually harvesting followed by machine stripping of pods in groundnut is to be adopted by following safety measures of personal hygiene and proper cleaning of shared equipment
 > Pulses in maturity to nearing harvesting stage. Manual and combine harvesting is to be done following safety measures
 > Maize is in cob formation stage and measures for fall army worm management required as incidence is noticed. Need based recommended control measures to be taken up.
 > Sugarcane is in vegetative stage and protection sprays/ release of bioagents against early shoot borer may be required.
 > Mango in fruiting stage (marble to lemon size), fruit drop is a major issue which requires nutrient application through foliar sprays. Mixing of ingredients to be done by following safety precautions.
 > Banana is in vegetative to bunching stage, tapioca at maturity stage; citrus, cashew, papaya, turmeric, water melon and vegetables (brinjal, bhendi and gourds) nearing harvest manually. Safety precautions to be followed at every step of harvesting, processing, storage, transport and marketing operations
 > Spiralling whitefly is a major problem faced by coconut farmers. Recommended control measures as advised by KVKs/ SAUs to be followed. Chemical sprays to be avoided against this pest.
 > Shortage of labour for farm operations is a critical concern as most of the crops are nearing harvesting stage. Use of machinery wherever feasible from custom hiring centres for harvesting is advised by following all safety measures of personal hygiene and social distancing.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR,"Sub Title:
 Category:
 Sub Category:
 Information About:
 State:","Seasonal Crop Management
 Advisory During Growth and
 Harvesting Stages"," > Advisory
 > Paddy is in grain filling to grain hardening stage. Incidence of neck blast, stem borer and panicle mite is observed. Prevailing high relative humidity conditions are congenial for further spread of the neck blast disease and hence foliar spray of    Tricyclazole @ 0.6 g or Isoprothiolane @ 1.5 ml or Kasugamycin @ 2.5 ml per litre of water is advised.
 > Harvesting of paddy from substantially increased acreage during rabi is anticipated. Precautions and safety measures of workers engaged in repair, maintenance and harvesting operation with combiners is to be ensured.
 > Summer green gram crop is at vegetative stage. Measures to manage whitefly incidence to be taken up to control yellow mosaic virus disease incidence
 > Maize is at flowering to harvesting stage and incidence of fall army worm is noticed which is to be managed with recommended insecticidal sprays or baiting. Care to be exercised while operating threshers after harvesting of cobs.
 > Chillies crop is at third to fourth picking stage, incidence of thrips and mites is noticed and safety precautions to be followed in use of spraying equipment by contract workers/ farmers
 > Fruit drop is likely in Mango, nutrient spray with 1% urea or Planofix @ 1 ml per 4.5 liters of water is advised. Care to be exercised by workers while mixing of inputs and application.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR,"Sub Title:
 Category:
 Sub Category:
 Information About:
 State:","Guidelines and Advisory for Agricultural
 Activities during Lockdown"," > Guidelines and Advisory
 > Potato growers finding difficulty in selling should shade dry their potatoes and store them in nearby cold storage in consultation with line department.
 > All farmers are advised to maintain social distancing while doing their farm operations.
 > Farm women may start preparing land for their nutritional garden as per the advice of the KVK.
 > Tomato growers who are finding difficulty in selling are advised either to store them in zero energy cool chambers or prepare tomato puree/ sauce.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR,"Sub Title:Ensuring Continuity and Safety in
 Farming Operations
 Category:Agriculture and Farming Management
 Sub Category: COVID-19 Response and Farming Strategies
 Information About:fruits, vegetable, mushrooms,
 honey, Mango
 State:Uttar Pradesh","Guidelines and Advisory for Agricultural
 Activities during COVID-19 Lockdown
 in Uttar Pradesh"," > Guidelines: Advisory
 > Where wheat is lodged, harvesting should be done manually. The manual cutting equipment should be sanitized before and after use
 > In case of normal crop, wheat harvesting may be done with the use of combine harvester. During harvesting social distancing should be strictly followed and only the essential person (s) may be allowed in this operation.
 > In Mango orchards infestation of thrips can be controlled by application of insecticide thiomethoxam @0.30 g/l
 > Powdery mildew in mango can be controlled with application of hexaconozol @0.1 mil/l or trifloxystrobin 0.5 g/l
 > Follow shade drying of leafy vegetables and spices
 > During harvesting keep hands thoroughly cleaned with soapy water
 > Where harvesting is over, deep ploughing is advised
 > In case of manual field operations of harvesting/ picking, accomplish the operation in 4-5 feet spaced strips assigning one strip to one person. This will ensure adequate spacing between the engaged labour
 > Stagger the field operations wherever possible and avoid engaging more number of persons on the same day.
 > Prefer mechanized operations over the manual wherever feasible. Only the essential numbers of persons should be allowed to accompany the machine.
 > All machines should be sanitized at the entry point and at regular intervals. All transport vehicles, gunny bags or other packaging material should also be sanitized
 > The collection of the produce may be done in small heaps spaced at 3-4 feets and field level processing should be assigned to 1-2 persons/heap to avoid crowding.
 > Proper sanitation and cleanliness of threshers for harvested maize and groundnut is to be maintained especially when machines are shared and used by farmer groups. Copious washing of machine parts frequently touched with soap is advised.
 > Harvesting, grading and packaging of seed potatoes to be done carefully following personal safety and social distancing. While doing their transportation, loading and unloading to col sores/ware houses, utmost care to be taken to avoid any chance of COVID 19 infection.
 > While doing the cultural operations and harvesting, cleaning etc of seasonal vegetables and cucurbits, workers should do the operation singly and in staggered patches
 > Summer planting of sugarcane shall start in the state shortly. To the maximum possible extent, machinery to be used for planting.
 > Likewise, sowing of summer maize, summer groundnut, hybrid pearl millets and summer mung bean to be done taking all care so that this deadly disease may not spread.
 > Mentha is another promising crop in the state. Only the improved variety cuttings to be used and nutrient management as well as irrigation to be managed suitably.",State Advisory for Farmers during COVID 19 lockdown,NA
ICAR,"Sub Title:Ensuring Continuity and Safety During
 COVID-19 Lockdown
 Category:Agricultural Management
 and Operations
 Sub Category: OVID-19 Response and
 Safety Measures
 Information About:insecticides- pesticides
 ,chemicals and turmeric and Wheat ,ginger.
 State: Uttarakhand","Guidelines and Advisory for Agricultural
 Operations in State, March 2020"," > Guidelines & Advisory
 > Wheat crop is still in reproductive stage and harvesting will start by the 2nd week of April and continued till end by April. Precautions with respect to social distancing and hygiene should be followed at the time of harvesting.",State Advisory for Farmers during COVID 19 lockdown,NA
